qmof_id,name,info.pld,info.lcd,info.density,info.volume,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap
qmof-8a95c27,ABACUF01_FSR,0.68822,1.3548,2.7632463718165776,408.857471262788,-238.66141647,-3.38941,-235.27200647,1.0,0.6325270000000001,1.237645,0.605118,False
qmof-019ba28,ABALOF_FSR,1.1857,2.13507,3.229951789771953,1781.9650324866138,-672.04674395,-15.98125,-656.0654939499999,0.0,1.134232,3.43044,2.296208,False
qmof-644aab4,ABAXUZ_FSR,1.33452,2.03948,1.5965373181165814,1148.1555570020012,-700.81771457,-8.89699,-691.9207245700001,0.0,1.973007,1.855009,-0.117998,False
qmof-eaa4957,ABAYEI_FSR,0.7819,2.42132,3.4211981353073133,497.7034160965076,-260.50087023,-4.95162,-255.54925023,0.0,2.551117,3.746185,1.195068,False
qmof-ffa4c4a,ABAYIM_FSR,0.39926,1.2172,3.59530392949398,705.4084546678843,-443.92942136,-8.83505,-435.09437136,0.0,1.222487,3.647939,2.425452,True
qmof-e813edb,ABAYOS01_FSR,0.51483,1.5659,3.272600974782542,811.5312909741906,-503.57315009,-9.1903,-494.38285009,0.0,1.360486,3.28252,1.922034,False
qmof-f364177,ABAZAF01_FSR,1.1315,2.09266,1.524741073034289,2260.263800390502,-1476.95722514,-17.19855,-1459.75867514,0.0,1.5001479999999998,1.440192,-0.059956,True
qmof-d2e3fe6,ABAZAF_FSR,1.14158,2.11158,1.5260904372713606,2258.2652824363186,-1476.75418166,-17.11398,-1459.64020166,0.0,1.810322,1.616088,-0.194234,True
qmof-b5f254c,ABECAM_FSR,0.98649,1.67589,2.2763460301313607,787.0579800029901,-491.64793898,-6.28837,-485.35956898,0.0,2.737229,2.61387,-0.123359,False
qmof-dc01ec5,ABENAY_FSR,0.77032,2.15494,1.9152756526663788,804.8875711783115,-544.7497559,-7.27151,-537.4782458999999,0.0,1.678626,2.1843,0.505674,False
qmof-de2f502,ABEREH01_FSR,0.69357,1.63699,2.466120284624394,375.9863155410196,-227.09203031,-3.51644,-223.57559031,2.0,0.3607979999999999,1.310374,0.949576,True
qmof-85a8986,ABEWUB_FSR,1.12484,2.84758,2.3638110390892373,1198.8488695915355,-743.08858252,-8.40023,-734.6883525200001,0.0,2.136836,1.337674,-0.799162,True
qmof-bf35637,ABEXUD_FSR,0.7747,1.69254,1.9070704711679565,331.46060644877144,-201.37562959,-2.96078,-198.41484959,1.0,0.591402,1.751119,1.159717,False
qmof-96fb808,ABEYOX_FSR,0.86223,1.98236,2.4463766963126594,1045.412726404607,-686.69954276,-8.47487,-678.22467276,0.0,2.46286,2.741404,0.278544,True
qmof-61fda9f,ABIFAT01_FSR,0.95714,1.95651,1.6763390233367803,814.782351490517,-586.61105148,-7.47562,-579.13543148,10.0,0.9753149999999996,2.469117,1.493802,False
qmof-4e42f7a,ABIGEZ_FSR,0.79019,1.61452,1.892907314487448,665.5894098948776,-483.96689147,-8.0874,-475.87949147,2.0,0.387327,3.557915,3.170588,True
qmof-f287e67,ABIQAE_FSR,1.01763,2.05447,1.8040422130636324,756.240028090761,-414.44520964,-5.94266,-408.50254964,0.0,2.0490440000000003,1.778442,-0.270602,False
qmof-c930811,ABITUA_FSR,0.84067,1.77928,2.372538402051557,661.4862409557408,-372.10878977,-5.65675,-366.45203977,0.0,1.911832,2.800281,0.888449,False
qmof-07d3562,ABIVOY_FSR,0.99905,1.95298,2.238027367402315,1346.1221041396548,-830.11039483,-10.96382,-819.14657483,0.0,3.083551,2.584233,-0.499318,False
qmof-9883029,ABIWAL_FSR,1.13178,2.11419,1.573801968553405,1373.6902294377371,-900.83688678,-10.06627,-890.77061678,0.0,2.679965,2.81411,0.134145,True
qmof-99e415f,ABIWEP01_FSR,1.24026,1.94879,2.5849050548584027,722.975287180476,-396.98594583,-5.78208,-391.20386583,0.0,4.54303,4.595775,0.052745,True
qmof-f224151,ABIWUF_FSR,1.21638,2.69022,1.8738561202332225,1401.471537248157,-790.57054312,-10.19558,-780.3749631200001,0.0,2.786405,2.354855,-0.43155,False
qmof-8ee5683,ABIXAL01_FSR,0.92721,2.1125,2.541894453836228,567.4156747950102,-297.44334865,-4.61015,-292.83319865000004,0.0,2.578828,2.882497,0.303669,False
qmof-fb4e82f,ABIXAM_FSR,1.21663,2.66959,2.0908641123048817,1396.0760763619276,-787.27938865,-10.28878,-776.99060865,0.0,2.847376,2.441832,-0.405544,False
qmof-34d7993,ABOTUJ_FSR,1.0992,1.71685,1.7562123617100602,933.3327237575415,-546.89735187,-7.8258,-539.07155187,0.0,0.960408,1.415877,0.455469,False
qmof-b1632e7,ABOVOF_FSR,1.46466,3.32341,1.5370706263305478,838.1815539409787,-432.90684275,-5.88237,-427.02447275,2.0,0.637679,0.503594,-0.134085,False
qmof-40f119f,ABOVUL_FSR,0.89944,1.56149,2.045622411599544,210.8922878376688,-113.73295302,-2.07673,-111.65622302,1.0,0.506677,1.490393,0.983716,False
qmof-d529df5,ABPZCU01_FSR,0.81736,2.47316,1.8687263662830853,625.2557671496315,-406.27716342,-5.61829,-400.65887342,2.0,1.006881,1.547452,0.540571,False
qmof-96c06cd,ABUSOG_FSR,0.94754,1.8811,1.5660827143506186,1160.8987072104912,-806.77041668,-10.52425,-796.24616668,0.0,0.2881169999999999,1.661364,1.373247,True
qmof-1fe23f7,ABXALA01_FSR,0.93689,3.92643,1.766096202726572,1249.1442456238346,-767.19659337,-8.9124,-758.2841933699999,0.0,3.646966,3.658605,0.011639,True
qmof-4db34af,ABZCUH01_FSR,1.99703,2.62255,1.789279247676951,747.418035590397,-468.14766721,-5.77438,-462.37328721,0.0,3.112947,2.698244,-0.414703,False
qmof-c7ff037,ABZCUH05_FSR,1.78656,2.45326,1.8076854756405083,739.8076703291082,-467.88703251,-5.76493,-462.12210251,0.0,3.169765,2.744406,-0.425359,False
qmof-868b2eb,ACAFIT_FSR,2.54171,4.45001,1.837954385015299,742.2276878296309,-302.81447527,-4.61274,-298.20173527000003,0.0,1.330433,2.335693,1.00526,False
qmof-d7ba091,ACAFOZ_FSR,3.01479,4.78207,1.722186110652265,792.1214931930693,-302.8315747,-4.45777,-298.3738047,0.0,1.50705,2.228149,0.721099,False
qmof-88d81f2,ACAKEX_FSR,1.01743,2.70106,1.765248754761708,1552.7647093357064,-854.28772393,-11.04663,-843.2410939299999,0.0,0.752596,1.103885,0.351289,True
qmof-850a307,ACATAB_FSR,5.21694,6.05802,1.301912070723294,3562.450622605125,-1666.76496773,-18.79823,-1647.96673773,0.0,0.623449,0.46106,-0.162389,False
qmof-e7d374d,ACATIJ_FSR,1.22152,2.1161,1.750041284278524,825.9282064851546,-565.07762881,-7.08815,-557.9894788099999,0.0,1.4314969999999998,2.178737,0.74724,False
